radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,636,1,21101,14914,0,39.079055786133,8.6757659912109,1000,1,1,1453159915,1453159915,0
GSM,636,1,21101,12315,0,39.092788696289,8.3022308349609,1000,1,1,1441704950,1441704950,0
GSM,636,1,21101,12084,0,38.969192504883,8.7499237060547,1000,1,1,1443321859,1443321859,0
GSM,636,1,21102,10192,0,39.25415,8.537064,1000,2,1,1458921005,1470359496,0
GSM,636,1,21101,11024,0,39.11750793457,8.6304473876953,1000,1,1,1453159915,1453159915,0
GSM,636,1,21101,13493,0,39.05158996582,8.7073516845703,1000,1,1,1441719743,1441719743,0
GSM,636,1,21102,10433,0,39.253463745117,8.5356903076172,1000,1,1,1453603759,1453603759,0
GSM,636,1,21101,11896,0,38.954086303711,8.7636566162109,1000,1,1,1451971470,1451971470,0
GSM,636,1,21101,12006,0,38.882699,8.813798,15018,2,1,1456029793,1456029793,0
GSM,636,1,21103,10681,0,39.298782348633,8.5645294189453,1000,1,1,1434496816,1434496816,0
GSM,636,1,21103,10594,0,39.268569946289,8.5453033447266,1000,1,1,1439450173,1439450173,0
GSM,636,1,21103,10741,0,39.296035766602,8.5672760009766,1000,1,1,1434496816,1434496816,0
GSM,636,1,21102,10694,0,39.27131652832,8.5466766357422,1000,1,1,1453159915,1453159915,0
GSM,636,1,21102,10481,0,39.265366,8.541183,1000,3,1,1458921005,1489415617,0
GSM,636,1,21102,10683,0,39.283676147461,8.5411834716797,1000,1,1,1441504063,1441504063,0
GSM,636,1,21105,10116,0,39.330368041992,8.3736419677734,1000,1,1,1449451414,1449451414,0
GSM,636,1,21105,10113,0,39.32487487793,8.3502960205078,1000,1,1,1449451414,1449451414,0
GSM,636,1,21103,10595,0,39.268569946289,8.5411834716797,1000,1,1,1439450173,1439450173,0
GSM,636,1,21102,10502,0,39.29328918457,8.5370635986328,1000,1,1,1441504063,1441504063,0
GSM,636,1,21103,10756,0,39.261703491211,8.5562896728516,1000,1,1,1436744486,1436744486,0
GSM,636,1,21102,10744,0,39.287796020508,8.5686492919922,1000,1,1,1439546594,1439546594,0
GSM,636,1,21105,10151,0,39.220504760742,8.5356903076172,1000,1,1,1453603759,1453603759,0
GSM,636,1,21103,10641,0,39.265823364258,8.5425567626953,1000,1,1,1432808177,1432808177,0
GSM,636,1,21105,11521,0,39.135360717773,7.9616546630859,1000,1,1,1443493461,1443493461,0
GSM,636,1,21102,10645,0,39.261703491211,8.5398101806641,1000,1,1,1448896213,1448896213,0
GSM,636,1,21103,10554,0,39.287796020508,8.5686492919922,1000,1,1,1437712579,1437712579,0
GSM,636,1,21102,10515,0,39.257583618164,8.5301971435547,1000,1,1,1451277886,1451277886,0
GSM,636,1,21103,10764,0,39.294662475586,8.5659027099609,1000,1,1,1436486386,1436486386,0
